排名,省份,2020年GDP,2019年GDP,2019年末常住人口,人均GDP,年增速
1,广东,110760.94,107971.07,11521,96138,2.87
2,江苏,102719,99631.52,8070,127285,3.1
3,山东,73129,71067.5,10070.21,72619,2.9
4,浙江,64613,62353.45,5850,110450,3.62
5,河南,54997,54259.2,9640,57051,1.36
6,四川,48598.8,46615.82,8375,58028,4.25
7,福建,43903.89,42395,3973,110506,3.56
8,湖北,43443.46,45828.31,5927,73298,-5.2
9,湖南,41781.49,39752.12,6918.38,60392,5.11
10,上海,38700.58,38155.32,2428.14,159384,1.43
11,安徽,38680.6,37113.98,6365.9,60762,4.22
12,河北,36206.9,35104.5,7591.97,47691,3.14
13,北京,36102.6,35371.3,2153.6,167638,2.07
14,陕西,26181.86,25793.17,3876.21,67545,1.51
15,江西,25691.5,24757.5,4666.1,55060,3.77
16,辽宁,25115,24909.5,4351.7,57713,0.82
17,重庆,25002.79,23605.77,3124.32,80026,5.92
18,云南,24521.9,23223.75,4858.3,50474,5.59
19,广西,22156.69,21237.4,4960,44671,4.33
20,贵州,17826.56,16769.34,3622.95,49205,6.3
21,山西,17651.93,17026.28,3729.22,47334,3.67
22,内蒙古,17360,17212.5,2539.6,68357,0.86
23,天津,14083.73,14104.28,1561.83,90175,-0.15
24,新疆,13797.58,13597.11,2523.22,54682,1.47
25,黑龙江,13698.5,13612.7,3751.3,36517,0.63
26,吉林,12311.32,11726.8,2690.73,45755,4.98
27,甘肃,9016.7,8718.3,2647.43,34058,3.42
28,海南,5532.39,5308.94,944.72,58561,4.21
29,宁夏,3920.55,3748.48,694.66,56438,4.59
30,青海,3005.92,2965.95,607.82,49454,1.35
31,西藏,1902.74,1697.82,350.56,54277,12.07
