订单编号,总金额,买家实际支付金额,收货地址,订单创建时间,订单付款时间,退款金额
1,178.8,0,上海,2020/2/21 0:00,,0
2,21,21,内蒙古自治区,2020/2/20 23:59,2020/2/21 0:00,0
3,37,0,安徽省,2020/2/20 23:59,,0
4,157,157,湖南省,2020/2/20 23:58,2020/2/20 23:58,0
5,64.8,0,江苏省,2020/2/20 23:57,2020/2/20 23:57,64.8
6,327.7,148.9,浙江省,2020/2/20 23:56,2020/2/20 23:56,178.8
7,357,357,天津,2020/2/20 23:56,2020/2/20 23:56,0
8,53,53,浙江省,2020/2/20 23:56,2020/2/20 23:56,0
9,43,0,湖南省,2020/2/20 23:54,2020/2/20 23:55,43
10,421,421,北京,2020/2/20 23:54,2020/2/20 23:54,0
11,267.9,0,北京,2020/2/20 23:54,2020/2/20 23:54,267.9
12,37,37,四川省,2020/2/20 23:54,2020/2/20 23:54,0
13,53,53,上海,2020/2/20 23:53,2020/2/20 23:57,0
14,34.9,0,天津,2020/2/20 23:53,,0
15,96.8,0,贵州省,2020/2/20 23:51,,0
16,80.8,80.8,天津,2020/2/20 23:51,2020/2/20 23:51,0
17,37,37,辽宁省,2020/2/20 23:51,2020/2/20 23:51,0
18,119,119,上海,2020/2/20 23:50,2020/2/20 23:51,0
19,37,37,浙江省,2020/2/20 23:50,2020/2/20 23:51,0
20,238,238,上海,2020/2/20 23:50,2020/2/20 23:50,0
21,34.9,34.9,上海,2020/2/20 23:50,2020/2/20 23:50,0
22,85,85,河南省,2020/2/20 23:50,2020/2/20 23:50,0
23,21,0,广西壮族自治区,2020/2/20 23:49,2020/2/20 23:50,21
24,69,69,江苏省,2020/2/20 23:49,2020/2/20 23:50,0
25,329.8,329.8,天津,2020/2/20 23:49,2020/2/20 23:49,0
26,43,43,广东省,2020/2/20 23:48,2020/2/20 23:49,0
27,37,37,福建省,2020/2/20 23:48,2020/2/20 23:48,0
28,64.8,64.8,上海,2020/2/20 23:47,2020/2/20 23:48,0
29,53,0,辽宁省,2020/2/20 23:47,2020/2/20 23:47,53
30,37,37,天津,2020/2/20 23:47,2020/2/20 23:47,0
31,37,37,上海,2020/2/20 23:47,2020/2/21 8:36,0
32,37,37,河南省,2020/2/20 23:46,2020/2/20 23:49,0
33,66.9,0,广东省,2020/2/20 23:46,2020/2/20 23:46,66.9
34,119,119,北京,2020/2/20 23:46,2020/2/20 23:46,0
35,102,64,海南省,2020/2/20 23:45,2020/2/20 23:45,38
36,233,233,四川省,2020/2/20 23:44,2020/2/20 23:44,0
37,389,389,广东省,2020/2/20 23:44,2020/2/20 23:44,0
38,37,0,广东省,2020/2/20 23:43,,0
39,50.9,50.9,江苏省,2020/2/20 23:43,2020/2/20 23:51,0
40,139,0,江西省,2020/2/20 23:43,,0
41,357,0,北京,2020/2/20 23:42,,0
42,238,238,四川省,2020/2/20 23:39,2020/2/21 0:01,0
43,69,0,甘肃省,2020/2/20 23:38,2020/2/20 23:38,69
44,37,0,贵州省,2020/2/20 23:38,2020/2/20 23:38,37
45,302,302,北京,2020/2/20 23:38,2020/2/20 23:39,0
46,114,114,江苏省,2020/2/20 23:38,2020/2/20 23:38,0
47,212.9,212.9,浙江省,2020/2/20 23:37,2020/2/20 23:37,0
48,247,247,北京,2020/2/20 23:35,2020/2/20 23:35,0
49,119,119,江苏省,2020/2/20 23:35,2020/2/20 23:35,0
50,119,119,天津,2020/2/20 23:35,2020/2/20 23:35,0
51,69,69,河北省,2020/2/20 23:34,2020/2/20 23:35,0
52,64.8,64.8,河北省,2020/2/20 23:33,2020/2/20 23:34,0
53,98.9,0,海南省,2020/2/20 23:33,2020/2/20 23:33,98.9
54,34.9,34.9,黑龙江省,2020/2/20 23:32,2020/2/20 23:32,0
55,101,101,广东省,2020/2/20 23:32,2020/2/20 23:32,0
56,53,53,上海,2020/2/20 23:31,2020/2/20 23:32,0
57,119,0,云南省,2020/2/20 23:31,,0
58,119,0,重庆,2020/2/20 23:30,2020/2/20 23:31,119
59,37,37,北京,2020/2/20 23:30,2020/2/20 23:33,0
60,37,37,北京,2020/2/20 23:30,2020/2/20 23:30,0
61,69,69,广东省,2020/2/20 23:30,2020/2/20 23:30,0
62,119,119,广东省,2020/2/20 23:29,2020/2/20 23:29,0
63,37,0,重庆,2020/2/20 23:28,,0
64,259,0,天津,2020/2/20 23:28,,0
65,210.8,210.8,湖南省,2020/2/20 23:28,2020/2/20 23:28,0
66,183,183,山西省,2020/2/20 23:28,2020/2/20 23:28,0
67,151,151,北京,2020/2/20 23:28,2020/2/20 23:28,0
68,64,0,重庆,2020/2/20 23:28,2020/2/21 15:19,64
69,119,0,黑龙江省,2020/2/20 23:28,2020/2/20 23:28,119
70,270,270,广东省,2020/2/20 23:27,2020/2/20 23:27,0
71,53,53,甘肃省,2020/2/20 23:27,2020/2/20 23:27,0
72,101,0,广东省,2020/2/20 23:27,2020/2/20 23:27,101
73,53,53,浙江省,2020/2/20 23:26,2020/2/20 23:26,0
74,69,69,重庆,2020/2/20 23:26,2020/2/20 23:26,0
75,119,0,浙江省,2020/2/20 23:25,2020/2/20 23:26,119
76,389,389,四川省,2020/2/20 23:25,2020/2/20 23:25,0
77,119,119,北京,2020/2/20 23:24,2020/2/20 23:24,0
78,641.7,641.7,上海,2020/2/20 23:23,2020/2/20 23:24,0
79,102,32,天津,2020/2/20 23:23,2020/2/20 23:23,70
80,37,0,广东省,2020/2/20 23:23,,0
81,178.8,178.8,四川省,2020/2/20 23:23,2020/2/20 23:25,0
82,178.8,0,天津,2020/2/20 23:22,2020/2/20 23:22,178.8
83,119,119,北京,2020/2/20 23:22,2020/2/20 23:22,0
84,37,37,北京,2020/2/20 23:22,2020/2/20 23:22,0
85,37,0,天津,2020/2/20 23:22,2020/2/20 23:48,37
86,183,183,江西省,2020/2/20 23:22,2020/2/20 23:22,0
87,227,227,吉林省,2020/2/20 23:22,2020/2/20 23:22,0
88,119,119,北京,2020/2/20 23:22,2020/2/20 23:22,0
89,540.6,540.6,广东省,2020/2/20 23:21,2020/2/20 23:21,0
90,183,183,江苏省,2020/2/20 23:20,2020/2/20 23:20,0
91,274.8,274.8,山西省,2020/2/20 23:20,2020/2/20 23:20,0
